iter	Passed	Remaining
160	1031	4092
161	1037	4087
162	1044	4082
163	1050	4073
164	1056	4067
165	1063	4061
166	1070	4055
167	1076	4050
168	1083	4043
169	1088	4034
170	1096	4034
171	1103	4030
172	1111	4029
173	1119	4026
174	1125	4020
175	1131	4010
176	1137	4002
177	1143	3996
178	1150	3990
179	1156	3983
180	1162	3976
181	1169	3971
182	1176	3965
183	1182	3958
184	1189	3953
185	1197	3952
186	1205	3952
187	1219	3970
188	1232	3985
189	1245	3997
190	1305	4161
191	1330	4211
192	1337	4207
193	1345	4201
194	1351	4192
195	1358	4186
196	1365	4178
197	1371	4170
198	1386	4188
199	1393	4181
200	1400	4173
201	1407	4167
202	1414	4160
203	1420	4151
204	1427	4142
205	1433	4132
206	1439	4124
207	1445	4114
208	1453	4110
209	1461	4107
210	1468	4098
211	1474	4088
212	1479	4077
213	1484	4065
214	1490	4054
215	1495	4043
216	1501	4033
217	1506	4022
218	1513	4013
219	1518	4003
220	1524	3992
221	1529	3982
222	1534	3971
223	1540	3961
224	1546	3951
225	1552	3944
226	1560	3938
227	1565	3928
228	1572	3920
229	1578	3911
230	1584	3901
231	1590	3892
232	1595	3883
233	1601	3874
234	1608	3867
235	1615	3859
236	1621	3851
237	1627	3841
238	1633	3833
239	1639	3826
240	1646	3817
241	1654	3814
242	1659	3804
243	1667	3798
244	1672	3789
245	1678	3781
246	1685	3772
247	1690	3763
248	1696	3754
249	1702	3746
250	1708	3737
251	1714	3728
252	1721	3721
253	1727	3713
254	1734	3706
255	1740	3698
256	1746	3689
257	1752	3681
258	1758	3673
259	1765	3666
260	1771	3657
261	1777	3649
262	1783	3641
263	1789	3632
264	1795	3624
265	1801	3616
266	1807	3607
267	1813	3599
268	1819	3591
269	1825	3583
270	1831	3575
271	1837	3566
272	1842	3556
273	1850	3551
274	1855	3542
275	1861	3533
276	1867	3525
277	1872	3515
278	1877	3506
279	1883	3498
280	1889	3489
281	1895	3481
282	1901	3473
283	1906	3464
284	1913	3457
285	1918	3448
286	1924	3439
287	1931	3433
288	1936	3424
289	1942	3416
290	1949	3409
291	1954	3400
292	1960	3392
293	1966	3384
294	1972	3375
295	1978	3369
296	1984	3360
297	1990	3352
298	1996	3345
299	2002	3337
300	2008	3329
301	2014	3321
302	2020	3314
303	2026	3306
304	2032	3298
305	2038	3291
306	2045	3284
307	2053	3279
308	2058	3271
309	2074	3279
310	2096	3295
311	2102	3288
312	2109	3281
313	2115	3273
314	2121	3265
315	2127	3259
316	2133	3250
317	2139	3242
318	2145	3234
319	2151	3226
320	2157	3219
321	2163	3211
322	2169	3203
323	2175	3195
324	2181	3187
325	2187	3180
326	2193	3172
327	2198	3163
328	2204	3155
329	2211	3149
330	2217	3142
331	2224	3136
332	2230	3127
333	2236	3119
334	2242	3112
335	2248	3104
336	2254	3097
337	2260	3090
338	2266	3081
339	2272	3074
340	2277	3065
341	2283	3057
342	2288	3049
343	2294	3041
344	2299	3032
345	2305	3024
346	2310	3016
347	2315	3008
348	2321	2999
349	2327	2991
350	2332	2983
351	2338	2975
352	2343	2967
353	2349	2959
354	2354	2951
355	2360	2944
356	2368	2938
357	2373	2930
358	2379	2922
359	2384	2914
360	2390	2907
361	2396	2899
362	2402	2892
363	2407	2883
364	2413	2875
365	2418	2867
366	2423	2859
367	2429	2852
368	2435	2845
369	2442	2838
370	2449	2832
371	2457	2827
372	2463	2819
373	2468	2812
374	2474	2803
375	2480	2796
376	2485	2789
377	2492	2782
378	2498	2775
379	2504	2768
380	2510	2760
381	2517	2754
382	2522	2746
383	2529	2740
384	2536	2733
385	2543	2727
386	2550	2721
387	2557	2715
388	2563	2708
389	2569	2701
390	2574	2693
391	2582	2687
392	2587	2679
393	2592	2671
394	2598	2664
395	2605	2658
396	2610	2650
397	2617	2643
398	2623	2636
399	2630	2630
400	2636	2622
401	2642	2616
402	2651	2611
403	2656	2604
404	2663	2597
405	2669	2590
406	2675	2583
407	2682	2576
408	2687	2569
409	2693	2562
410	2700	2555
411	2708	2550
412	2716	2545
413	2724	2540
414	2731	2533
415	2739	2528
416	2746	2522
417	2754	2517
418	2761	2510
419	2769	2505
420	2774	2497
421	2781	2491
422	2786	2483
423	2793	2476
424	2799	2469
425	2805	2462
426	2811	2456
427	2817	2448
428	2823	2442
429	2831	2436
430	2839	2431
431	2847	2425
432	2855	2420
433	2864	2416
434	2872	2409
435	2879	2404
436	2887	2398
437	2893	2391
438	2901	2385
439	2907	2378
440	2915	2372
441	2922	2366
442	2929	2360
443	2935	2353
444	2942	2347
445	2947	2339
446	2953	2332
447	2960	2326
448	2967	2319
449	2973	2313
450	2979	2305
451	2986	2299
452	2992	2292
453	2999	2285
454	3004	2278
455	3009	2270
456	3016	2263
457	3021	2256
458	3028	2250
459	3034	2242
460	3040	2235
461	3048	2230
462	3053	2222
463	3060	2216
464	3066	2209
465	3071	2201
466	3077	2194
467	3083	2187
468	3089	2180
469	3094	2172
470	3100	2165
471	3105	2158
472	3111	2150
473	3116	2143
474	3121	2135
475	3127	2128
476	3132	2121
477	3138	2114
478	3144	2107
479	3149	2099
480	3155	2092
481	3160	2085
482	3165	2077
483	3171	2070
484	3177	2063
485	3182	2056
486	3188	2049
487	3194	2042
488	3199	2035
489	3205	2027
490	3210	2020
491	3216	2013
492	3221	2006
493	3227	1999
494	3233	1992
495	3239	1985
496	3245	1978
497	3251	1972
498	3257	1965
499	3263	1958
500	3269	1951
501	3274	1944
502	3280	1936
503	3286	1930
504	3291	1922
505	3297	1915
506	3302	1908
507	3307	1901
508	3313	1894
509	3318	1887
510	3324	1880
511	3329	1872
512	3335	1866
513	3341	1859
514	3349	1853
515	3354	1846
516	3361	1839
517	3366	1832
518	3372	1825
519	3377	1818
520	3383	1811
521	3389	1805
522	3395	1798
523	3402	1792
524	3409	1785
525	3415	1779
526	3422	1773
527	3429	1766
528	3437	1760
529	3446	1755
530	3454	1750
531	3461	1743
532	3466	1736
533	3472	1729
534	3478	1722
535	3484	1716
536	3490	1709
537	3496	1702
538	3502	1696
539	3508	1689
540	3514	1682
541	3520	1675
542	3526	1669
543	3532	1662
544	3538	1655
545	3544	1648
546	3549	1641
547	3555	1635
548	3561	1628
549	3567	1621
550	3573	1614
551	3579	1608
552	3584	1601
553	3590	1594
554	3596	1587
555	3601	1580
556	3607	1573
557	3613	1567
558	3619	1560
559	3624	1553
560	3632	1547
561	3638	1540
562	3647	1535
563	3652	1528
564	3657	1521
565	3663	1514
566	3669	1508
567	3675	1501
568	3680	1494
569	3686	1487
570	3692	1480
571	3698	1474
572	3703	1467
573	3709	1460
574	3715	1454
575	3721	1447
576	3727	1440
577	3732	1433
578	3738	1426
579	3743	1419
580	3748	1413
581	3754	1406
582	3759	1399
583	3765	1392
584	3770	1385
585	3776	1379
586	3781	1372
587	3787	1365
588	3792	1358
589	3798	1351
590	3803	1345
591	3809	1338
592	3815	1331
593	3821	1325
594	3827	1318
595	3834	1312
596	3840	1305
597	3847	1299
598	3856	1293
599	3862	1287
600	3869	1281
601	3875	1274
602	3881	1268
603	3886	1261
604	3894	1255
605	3901	1248
606	3906	1242
607	3912	1235
608	3918	1228
609	3924	1222
610	3930	1215
611	3936	1209
612	3941	1202
613	3948	1196
614	3954	1189
615	3960	1182
616	3967	1176
617	3972	1169
618	3978	1163
619	3985	1156
620	3990	1150
621	3997	1144
622	4004	1137
623	4009	1130
624	4016	1124
625	4023	1118
626	4029	1111
627	4035	1105
628	4041	1098
629	4048	1092
630	4054	1085
631	4060	1079
632	4068	1073
633	4073	1066
634	4080	1060
635	4086	1053
636	4092	1047
637	4099	1040
638	4106	1034
639	4112	1028
640	4118	1021
641	4124	1015
642	4131	1008
643	4137	1002
644	4144	995
645	4150	989
646	4156	982
647	4163	976
648	4170	970
649	4178	964
650	4184	957
651	4191	951
652	4197	944
653	4204	938
654	4211	932
655	4216	925
656	4223	919
657	4229	912
658	4236	906
659	4244	900
660	4250	893
661	4258	887
662	4264	881
663	4270	874
664	4277	868
665	4283	861
666	4290	855
667	4296	848
668	4302	842
669	4309	836
670	4315	829
671	4321	823
672	4329	817
673	4338	811
674	4345	804
675	4352	798
676	4360	792
677	4367	785
678	4373	779
679	4380	772
680	4387	766
681	4394	760
682	4402	754
683	4413	748
684	4420	742
685	4427	735
686	4434	729
687	4441	722
688	4448	716
689	4456	710
690	4463	704
691	4469	697
692	4476	691
693	4482	684
694	4489	678
695	4496	671
696	4502	665
697	4509	658
698	4515	652
699	4523	646
700	4530	639
701	4537	633
702	4543	626
703	4550	620
704	4556	614
705	4563	607
706	4570	601
707	4576	594
708	4583	588
709	4590	581
710	4596	575
711	4602	568
712	4609	562
713	4616	555
714	4622	549
715	4629	543
716	4636	536
717	4642	530
718	4649	523
719	4657	517
720	4662	510
721	4669	504
722	4677	498
723	4686	491
724	4694	485
725	4702	479
726	4708	472
727	4714	466
728	4721	459
729	4727	453
730	4734	446
731	4740	440
732	4746	433
733	4752	427
734	4759	420
735	4765	414
736	4771	407
737	4777	401
738	4784	394
739	4790	388
740	4796	381
741	4802	375
742	4809	368
743	4815	362
744	4821	355
745	4827	349
746	4833	342
747	4840	336
748	4847	330
749	4854	323
750	4861	317
751	4868	310
752	4874	304
753	4881	297
754	4887	291
755	4893	284
756	4899	278
757	4905	271
758	4912	265
759	4918	258
760	4925	252
761	4931	245
762	4937	239
763	4942	232
764	4948	226
765	4954	219
766	4959	213
767	4966	206
768	4971	200
769	4977	193
770	4983	187
771	4989	180
772	4995	174
773	5002	168
774	5007	161
775	5013	155
776	5018	148
777	5024	142
778	5029	135
779	5036	129
780	5041	122
781	5047	116
782	5052	109
783	5058	103
784	5064	96
785	5070	90
786	5075	83
787	5081	77
788	5087	70
789	5093	64
790	5098	58
791	5104	51
792	5109	45
793	5115	38
794	5120	32
795	5126	25
796	5131	19
797	5136	12
798	5142	6
799	5147	0
