iter	RMSE
240	0.121344601
241	0.1212945189
242	0.1212393866
243	0.121172341
244	0.1210801933
245	0.1210363727
246	0.1209940444
247	0.120949315
248	0.1208842233
249	0.1208208956
250	0.1207905013
251	0.1207369968
252	0.1206752586
253	0.1206180051
254	0.1205788141
255	0.1205187468
256	0.1204837465
257	0.1204124063
258	0.1203539963
259	0.1202978583
260	0.1202632
261	0.1201728863
262	0.1201033772
263	0.1200399307
264	0.1200056129
265	0.1199330451
266	0.1198437666
267	0.119764169
268	0.1197028416
269	0.1196434994
270	0.1195868527
271	0.1195318192
272	0.1194950431
273	0.1194262962
274	0.1193789677
275	0.1193491418
276	0.1192614515
277	0.1192021931
278	0.1191239156
279	0.1190842488
280	0.1190385323
281	0.1189976545
282	0.1189289955
283	0.1188885671
284	0.1188286484
285	0.1187705181
286	0.1187283463
287	0.1186942453
288	0.1186301438
289	0.1185898627
290	0.1185232668
291	0.1184599667
292	0.1183947068
293	0.1183563323
294	0.1183413713
295	0.1182987253
296	0.1182229634
297	0.1181759276
298	0.1181238991
299	0.1180863352
300	0.1180515862
301	0.1179924314
302	0.1179422394
303	0.1178670429
304	0.1178071824
305	0.1177696693
306	0.1177169642
307	0.1176999058
308	0.1176593147
309	0.1176366228
310	0.1175811136
311	0.1175024067
312	0.1174405757
313	0.1173748105
314	0.1172968617
315	0.1172274069
316	0.1172118291
317	0.1171901632
318	0.1171312794
319	0.1170884331
320	0.1170377934
321	0.1169764814
322	0.1169484699
323	0.1169073255
324	0.1168769067
325	0.1168254178
326	0.1167656362
327	0.1166950316
328	0.1166335414
329	0.1165836501
330	0.1165302298
331	0.1164887378
332	0.1164208348
333	0.1163806303
334	0.1163195076
335	0.1162644102
336	0.1162167617
337	0.1161713086
338	0.1161367827
339	0.1161048456
340	0.1160817932
341	0.1160429442
342	0.116015015
343	0.1159637166
344	0.1159134776
345	0.1158435502
346	0.1157978739
347	0.1157389267
348	0.1156936376
349	0.115642788
350	0.115574725
351	0.1155282111
352	0.1154983877
353	0.1154643817
354	0.1154237807
355	0.1153874076
356	0.1153633633
357	0.115332739
358	0.1152670573
359	0.1152080687
360	0.1151514664
361	0.1151054953
362	0.1150481247
363	0.1150407439
364	0.1149835597
365	0.114971951
366	0.1149493363
367	0.1149066166
368	0.1148747164
369	0.1148246363
370	0.1147816966
371	0.1147257251
372	0.1146996326
373	0.1146604956
374	0.1146126371
375	0.1145797863
376	0.1145290419
377	0.1145010304
378	0.1144348784
379	0.1144129883
380	0.1143708375
381	0.1143296157
382	0.1142850009
383	0.1142275813
384	0.1141728428
385	0.1141380694
386	0.1140972449
387	0.1140601429
388	0.1140100033
389	0.113951576
390	0.1139371322
391	0.1138717826
392	0.1138360933
393	0.1138197616
394	0.113782133
395	0.1137156645
396	0.1136782485
397	0.1136474452
398	0.1135597797
399	0.1135035008
400	0.1134513639
401	0.1133845361
402	0.1133367548
403	0.1132734109
404	0.1132603479
405	0.1131994157
406	0.1131487976
407	0.113120864
408	0.113066244
409	0.1130143551
410	0.1129414164
411	0.1129178719
412	0.1128519673
413	0.1128220116
414	0.1127624979
415	0.1127196434
416	0.1126725158
417	0.112614858
418	0.1125726462
419	0.1125119356
420	0.1124497438
421	0.1124168367
422	0.1123531082
423	0.1123079302
424	0.1122749171
425	0.1122114242
426	0.1121564444
427	0.1121270069
428	0.1120977687
429	0.1120585222
430	0.1120291263
431	0.1119881012
432	0.1119352272
433	0.11189443
434	0.1118511612
435	0.1117855024
436	0.1117165615
437	0.1116905177
438	0.1116718052
439	0.1116524707
440	0.1116339525
441	0.1115869438
442	0.1115760977
443	0.1115103193
444	0.1114851744
445	0.111419369
446	0.1113793562
447	0.1113370018
448	0.1112989622
449	0.1112367721
450	0.1111699331
451	0.1110988757
452	0.1110802826
453	0.1110453183
454	0.1109941974
455	0.1109292101
456	0.1108823225
457	0.1108693159
458	0.1108310063
459	0.1107565479
460	0.1107124326
461	0.1106707594
462	0.1106390425
463	0.1105780473
464	0.1105546321
465	0.110526912
466	0.1104996145
467	0.1104317645
468	0.1103764772
469	0.1103232541
470	0.1102893243
471	0.1102330949
472	0.1102004975
473	0.1101766631
474	0.1101614931
475	0.1101527115
476	0.1100938515
477	0.1100740211
478	0.1100246706
479	0.110000155
480	0.1099648936
481	0.1099264539
482	0.1098971941
483	0.1098758435
484	0.1098605286
485	0.1098079174
486	0.1097409461
487	0.1097116163
488	0.1096406298
489	0.1096017639
490	0.1095557806
491	0.1095349916
492	0.1095206346
493	0.1094589116
494	0.1093970572
495	0.1093325301
496	0.1093122838
497	0.1092551992
498	0.1092051986
499	0.1091777252
500	0.109139164
501	0.1090609982
502	0.1090442894
503	0.1089930383
504	0.1089364694
505	0.1089042152
506	0.1088408971
507	0.1088072267
508	0.1087820889
509	0.1087749649
510	0.1087114757
511	0.1086940553
512	0.1086574812
513	0.1086335702
514	0.1085981149
515	0.1085403341
516	0.1084884808
517	0.1084500213
518	0.1083931496
519	0.1083698969
520	0.1083248551
521	0.1082801332
522	0.1082339649
523	0.1081865922
524	0.1081403029
525	0.1080974773
526	0.1080429033
527	0.1080066317
528	0.1079379944
529	0.1079059725
530	0.1078757705
531	0.1078173778
532	0.1077743908
533	0.1077655991
534	0.1077364513
535	0.1077142379
536	0.1076669309
537	0.1076418726
538	0.1076213115
539	0.1075804459
540	0.1075024868
541	0.1074728652
542	0.1074277105
543	0.1074003836
544	0.1073308683
545	0.1073042461
546	0.1072352743
547	0.1071716326
548	0.1071342342
549	0.1070939576
550	0.107033177
551	0.1069708216
552	0.1069260802
553	0.1068908451
554	0.1068419276
555	0.1068228168
556	0.1067664694
557	0.1067061076
558	0.1066736929
559	0.1066120004
560	0.1065857524
561	0.1065580818
562	0.1065269581
563	0.1065052102
564	0.1064964749
565	0.1064697771
566	0.1064449899
567	0.1064076281
568	0.1063570098
569	0.1063213005
570	0.1062720836
571	0.1062225706
572	0.1061991724
573	0.1061505396
574	0.1061148347
575	0.1060988168
576	0.1060591952
577	0.1060004858
578	0.1059486297
579	0.1059294453
580	0.1058775672
581	0.1058505659
582	0.1058057457
583	0.1057635483
584	0.105720868
585	0.1056955126
586	0.1056777081
587	0.1056595277
588	0.1056135352
589	0.1056044176
590	0.1055827121
591	0.1055641925
592	0.1055434441
593	0.1055028043
594	0.105484894
595	0.1054619626
596	0.1054205651
597	0.1053810662
598	0.1053320881
599	0.1052874895
600	0.1052466954
601	0.1052013865
602	0.1051643664
603	0.1051460471
604	0.1051091996
605	0.1050718307
606	0.1050522731
607	0.1050276846
608	0.1049945018
609	0.1049581846
610	0.1049086307
611	0.1048912785
612	0.1048467157
613	0.1048267926
614	0.1048093443
615	0.1047923876
616	0.1047727108
617	0.1047397753
618	0.1046780569
619	0.1046393411
620	0.1046001195
621	0.1045713235
622	0.1045349367
623	0.1045160139
624	0.1044996391
625	0.1044779443
626	0.1044410386
627	0.1044221362
628	0.1043843431
629	0.1043656163
630	0.1043167798
631	0.1042713024
632	0.1042620969
633	0.1042378007
634	0.1042138012
635	0.1041887313
636	0.1041666886
637	0.1041254921
638	0.1040973644
639	0.1040852366
640	0.1040488086
641	0.1040436818
642	0.1040149928
643	0.1039780813
644	0.1039661704
645	0.1039367217
646	0.1039211453
647	0.1039037879
648	0.1038977384
649	0.1038575394
650	0.1038133041
651	0.1037796809
652	0.1037532175
653	0.1037138535
654	0.1036522718
655	0.1036351882
656	0.1035984857
657	0.1035537314
658	0.1035202332
659	0.1034520026
660	0.1034274481
661	0.1034014568
662	0.1033704018
663	0.1033523346
664	0.103302192
665	0.1032669203
666	0.1032297799
667	0.1032124499
668	0.1031563344
669	0.1031097532
670	0.1030800147
671	0.103035666
672	0.1029977247
673	0.1029813335
674	0.1029718957
675	0.1029532825
676	0.1029271687
677	0.1028886603
678	0.1028546604
679	0.1028300503
680	0.1027973437
681	0.1027532344
682	0.1027206091
683	0.1026984589
684	0.102663066
685	0.1026185528
686	0.1025899492
687	0.102555612
688	0.1025269364
689	0.1025123005
690	0.1024941126
691	0.1024787174
692	0.1024643708
693	0.1024345176
694	0.1023962831
695	0.1023669465
696	0.1023387152
697	0.1023081568
698	0.1022798703
699	0.1022547945
700	0.1022361216
701	0.1021947738
702	0.1021684691
703	0.10214481
704	0.1021103556
705	0.1020680864
706	0.1020240179
707	0.102010194
708	0.1019752654
709	0.1019602776
710	0.1019244623
711	0.1019104243
712	0.1018798937
713	0.1018377959
714	0.1018322268
715	0.1018145753
716	0.1017770773
717	0.1017632559
718	0.101749566
719	0.1017215289
720	0.1017101942
721	0.1016778713
722	0.1016700895
723	0.1016211758
724	0.1015805037
725	0.1015437731
726	0.1015042603
727	0.101456141
728	0.1014255039
729	0.1013944674
730	0.1013766703
731	0.1013731922
732	0.1013191428
733	0.1012925571
734	0.1012431315
735	0.1012286952
736	0.1012154111
737	0.1011624933
738	0.1011387848
739	0.1011038545
740	0.1010984892
741	0.1010722616
742	0.1010236716
743	0.1010139959
744	0.1009870777
745	0.1009773359
746	0.1009507654
747	0.1009309265
748	0.1009137651
749	0.1008668809
750	0.1008288746
751	0.1007841568
752	0.1007535767
753	0.1007149033
754	0.1007053081
755	0.100693029
756	0.1006469351
757	0.1005906952
758	0.1005783925
759	0.1005262232
760	0.1004932985
761	0.100447644
762	0.1004052741
763	0.1003698181
764	0.1003657915
765	0.1003536982
766	0.1003384322
767	0.1003291705
768	0.1003140695
769	0.1002656518
770	0.1002529837
771	0.1002300144
772	0.1002216143
773	0.1002163726
774	0.1001756281
775	0.1001405777
776	0.1001178474
777	0.1000681151
778	0.1000559744
779	0.1000293882
780	0.1000145458
781	0.09999795179
782	0.09999047574
783	0.09998352681
784	0.09995651137
785	0.09994836867
786	0.09990990134
787	0.09988029631
788	0.09986673324
789	0.09983382692
790	0.09982249051
791	0.09977922257
792	0.09976697347
793	0.09975984679
794	0.0997516562
795	0.0997353841
796	0.0997322736
797	0.09972671152
798	0.09969975407
799	0.09969551186
